orderID,year,offence_type,offence_group,gender,source,target,value,,,,,,Gender
1,2009,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,8694,,02 labour exploitation,,orderID,YEAR,2 Female
1,2009,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,2517,,02 labour exploitation,,1,2009,2 Female
1,2009,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,2208,,04 sexual exploitation,,1,2009,2 Female
1,2009,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,771,,04 sexual exploitation,,1,2009,2 Female
1,2009,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,297,,04 sexual exploitation,,1,2009,2 Female
1,2009,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,16418,,04 unknown exploitation,,1,2009,2 Female
1,2009,Adults,01 domestic servitude,2 Female,All offenders,First time offenders,2843,,01 domestic servitude,,1,2009,2 Female
1,2009,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,526,,01 domestic servitude,,1,2009,2 Female
1,2009,Juveniles,01 domestic servitude,2 Female,All offenders,First time offenders,3249,,01 domestic servitude,,1,2009,2 Female
1,2009,Adults,02 labour exploitation,2 Female,All offenders,First time offenders,15030,,02 labour exploitation,,1,2009,2 Female
1,2009,Juveniles,02 labour exploitation,2 Female,All offenders,First time offenders,5748,,02 labour exploitation,,1,2009,2 Female
1,2009,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,607,,04 sexual exploitation,,1,2009,2 Female
1,2009,Juveniles,04 sexual exploitation,2 Female,All offenders,First time offenders,907,,04 sexual exploitation,,1,2009,2 Female
1,2009,Adults,04 unknown exploitation,2 Female,All offenders,First time offenders,45247,,04 unknown exploitation,,1,2009,2 Female
1,2009,Juveniles,04 unknown exploitation,2 Female,All offenders,First time offenders,8562,,04 unknown exploitation,,1,2009,2 Female
1,2009,Adults,01 domestic servitude,1 Male,All offenders,First time offenders,2513,,01 domestic servitude,,1,2009,1 Male
1,2009,Adults,02 labour exploitation,1 Male,All offenders,First time offenders,3319,,02 labour exploitation,,1,2009,1 Male
1,2009,Juveniles,02 labour exploitation,1 Male,All offenders,First time offenders,916,,02 labour exploitation,,1,2009,1 Male
